id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produktivitas_ubi_jalar,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,216.0,KUINTAL PER HEKTAR,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,164.22,KUINTAL PER HEKTAR,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,140.26,KUINTAL PER HEKTAR,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,146.0,KUINTAL PER HEKTAR,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,154.64,KUINTAL PER HEKTAR,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,147.64,KUINTAL PER HEKTAR,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,97.76,KUINTAL PER HEKTAR,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,264.23,KUINTAL PER HEKTAR,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,291.77,KUINTAL PER HEKTAR,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,352.42,KUINTAL PER HEKTAR,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,177.84,KUINTAL PER HEKTAR,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,110.69,KUINTAL PER HEKTAR,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,122.3,KUINTAL PER HEKTAR,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,132.23,KUINTAL PER HEKTAR,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,151.43,KUINTAL PER HEKTAR,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,121.67,KUINTAL PER HEKTAR,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,123.78,KUINTAL PER HEKTAR,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,105.06,KUINTAL PER HEKTAR,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,150.67,KUINTAL PER HEKTAR,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,157.92,KUINTAL PER HEKTAR,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,97.69,KUINTAL PER HEKTAR,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,90.0,KUINTAL PER HEKTAR,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,88.24,KUINTAL PER HEKTAR,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,73.33,KUINTAL PER HEKTAR,2015
